t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
2.64,0.202737609447738,0,0,0.202737609447738,0,0,0.0498305831327517,-0,-0
2.65,0.203165441275679,0,0,0.203165441275679,0,0,0.0493726555745061,-0,-0
2.66,0.203590331693112,0,0,0.203590331693112,0,0,0.0489197164593079,-0,-0
2.67,0.204012298228974,0,0,0.204012298228974,0,0,0.0484717029503158,-0,-0
2.68,0.204431358334976,0,0,0.204431358334976,0,0,0.0480285528239116,-0,-0
2.69,0.204847529385612,0,0,0.204847529385612,0,0,0.0475902044696996,-0,-0
2.7,0.20526082867815,0,0,0.20526082867815,0,0,0.0471565968905074,-0,-0
2.71,0.205671273432639,0,0,0.205671273432639,0,0,0.046727669702386,-0,-0
2.72,0.206078880791903,0,0,0.206078880791903,0,0,0.0463033631346083,-0,-0
2.73,0.206483667821546,0,0,0.206483667821546,0,0,0.0458836180296713,-0,-0
2.74,0.20688565150995,0,0,0.20688565150995,0,0,0.0454683758432945,-0,-0
2.75,0.207284848768273,0,0,0.207284848768273,0,0,0.0450575786444198,-0,-0
2.76,0.207681276430453,0,0,0.207681276430453,0,0,0.0446511691152133,-0,-0
2.77,0.208074951253205,0,0,0.208074951253205,0,0,0.0442490905510629,-0,-0
2.78,0.208465889916022,0,0,0.208465889916022,0,0,0.0438512868605803,-0,-0
2.79,0.208854109021176,0,0,0.208854109021176,0,0,0.0434577025656001,-0,-0
2.8,0.209239625093716,0,0,0.209239625093716,0,0,0.0430682828011793,-0,-0
2.81,0.209622454581467,0,0,0.209622454581467,0,0,0.0426829733155981,-0,-0
2.82,0.210002613855037,0,0,0.210002613855037,0,0,0.0423017204703603,-0,-0
2.83,0.210380119207806,0,0,0.210380119207806,0,0,0.0419244712401916,-0,-0
2.84,0.210754986855937,0,0,0.210754986855937,0,0,0.0415511732130418,-0,-0
2.85,0.211127232938369,0,0,0.211127232938369,0,0,0.0411817745900828,-0,-0
2.86,0.211496873516816,0,0,0.211496873516816,0,0,0.0408162241857102,-0,-0
2.87,0.211863924575776,0,0,0.211863924575776,0,0,0.0404544714275418,-0,-0
2.88,0.21222840202252,0,0,0.21222840202252,0,0,0.0400964663564192,-0,-0
2.89,0.212590321687099,0,0,0.212590321687099,0,0,0.0397421596264059,-0,-0
2.9,0.212949699322341,0,0,0.212949699322341,0,0,0.0393915025047895,-0,-0
2.91,0.213306550603854,0,0,0.213306550603854,0,0,0.0390444468720802,-0,-0
2.92,0.213660891130021,0,0,0.213660891130021,0,0,0.038700945222011,-0,-0
2.93,0.214012736422005,0,0,0.214012736422005,0,0,0.0383609506615374,-0,-0
2.94,0.214362101923747,0,0,0.214362101923747,0,0,0.0380244169108397,-0,-0
2.95,0.21470900328208,0,0,0.21470900328208,0,0,0.0376912989546594,-0,-0
2.96,0.215053456823345,0,0,0.215053456823345,0,0,0.037361556398524,-0,-0
2.97,0.215395478350223,0,0,0.215395478350223,0,0,0.0370351505174499,-0,-0
2.98,0.215735083547773,0,0,0.215735083547773,0,0,0.0367120428998391,-0,-0
2.99,0.216072288019071,0,0,0.216072288019071,0,0,0.0363921954682179,-0,-0
3,0.21640710728521,0,0,0.21640710728521,0,0,0.036075570479233,-0,-0
3.01,0.216739556785302,0,0,0.216739556785302,0,0,0.0357621305236533,-0,-0
3.02,0.217069651876477,0,0,0.217069651876477,0,0,0.0354518385263686,-0,-0
3.03,0.217397407833882,0,0,0.217397407833882,0,0,0.0351446577463915,-0,-0
